FE_MW,humidity,precipation,max_temp,min_temp,wind_speed
208083.0,68.31,2.72,73.16,64.18,7.56
185818.0,46.85,0.27,84.2,59.5,10.84
176788.0,39.14,0.0,89.32,61.94,10.35
180699.0,26.81,0.0,92.35,61.54,9.42
188311.0,27.82,0.05,91.73,67.23,13.71
210942.0,31.06,0.03,88.14,71.32,11.2
223043.0,29.37,0.0,90.89,63.35,10.93
248376.0,38.0,0.0,88.71,64.61,11.94
236259.0,34.67,0.02,89.49,68.57,16.72
193230.0,35.77,0.0,91.81,65.72,11.17
180534.0,31.94,0.05,95.06,68.97,17.76
154297.0,37.24,0.0,93.57,70.21,15.47
174295.0,32.74,0.01,93.82,74.09,15.47
174512.0,31.41,0.71,95.67,69.1,10.77
177572.0,32.01,0.24,91.36,70.45,10.38
184944.0,35.42,0.43,93.16,69.51,13.68
191674.0,48.03,0.37,80.11,68.23,10.15
180911.0,61.89,0.65,83.57,62.12,12.42
168433.0,56.17,2.32,83.27,63.38,10.04
196711.0,50.25,0.22,87.28,62.31,5.81
221344.0,37.87,0.11,91.27,63.29,9.97
219779.0,42.65,0.08,92.47,65.81,12.21
200293.0,35.78,0.13,92.72,72.54,14.17
180903.0,34.44,0.11,92.62,71.17,13.4
156218.0,32.96,0.0,96.11,69.18,10.92
155451.0,35.25,0.03,92.78,71.19,19.33
191200.0,35.2,0.0,93.89,70.07,9.18
210175.0,26.85,0.23,94.12,73.26,16.98
193328.0,37.41,0.04,87.37,68.69,11.9
196608.0,40.27,0.07,88.46,66.8,11.01
203373.0,43.13,0.49,84.94,68.68,15.19
193644.0,35.8,0.05,87.26,63.75,17.77
185305.0,25.64,0.0,87.81,66.44,11.86
178646.0,36.97,0.0,89.81,63.66,8.21
203714.0,32.49,0.0,96.69,64.97,10.71
225358.0,31.21,0.59,93.97,69.21,12.54
220550.0,35.19,0.18,91.24,69.26,14.34
204605.0,26.83,0.02,91.96,67.29,10.17
191527.0,33.32,0.07,86.07,69.55,11.58
200133.0,47.07,0.51,86.72,70.02,12.85
226411.0,46.42,0.1,90.95,64.44,7.0
235955.0,38.39,0.0,96.56,67.25,5.88
215519.0,32.26,0.0,100.43,70.94,6.38
202758.0,37.06,0.0,101.25,76.01,17.82
206104.0,32.41,0.0,89.64,77.03,18.13
205261.0,23.5,0.0,94.45,69.45,11.99
210079.0,26.81,0.0,95.33,71.86,9.36
244439.0,34.12,0.0,98.06,70.83,10.37
248043.0,31.75,0.38,92.16,74.64,25.66
261016.0,70.58,1.73,88.41,69.29,14.13
282082.0,36.45,0.0,95.85,65.66,8.89
265393.0,27.42,0.0,97.46,70.96,13.8
221227.0,44.2,0.05,90.12,78.21,15.0
212732.0,41.02,0.0,97.99,69.18,7.02
244235.0,36.72,0.09,99.74,76.54,11.05
233964.0,36.45,1.04,97.32,78.19,16.73
221825.0,41.63,0.91,83.19,68.19,17.62
239284.0,52.64,0.0,86.33,63.3,6.98
237538.0,42.32,0.99,89.6,64.09,10.34
215190.0,45.43,0.12,93.26,67.09,7.75
206470.0,40.36,0.76,81.69,69.25,10.85
234422.0,47.95,0.29,90.12,65.72,6.25
240279.0,33.47,0.42,94.8,66.99,11.42
228184.0,35.73,0.0,97.7,66.22,9.5
227066.0,37.76,0.0,101.58,66.92,8.29
231496.0,33.87,0.0,103.34,71.11,8.63
217415.0,30.87,0.0,101.56,75.45,11.88
208077.0,30.01,0.0,101.48,75.98,15.75
226822.0,35.08,0.01,97.11,78.05,19.37
223145.0,27.8,0.0,94.88,74.21,9.51
203458.0,34.96,0.0,89.76,73.28,17.02
195702.0,50.63,0.3,82.46,68.42,18.56
194551.0,56.84,3.29,80.85,61.03,8.08
181060.0,53.21,3.48,83.6,60.93,8.3
163409.0,63.06,0.07,86.62,62.93,8.46
191365.0,51.83,0.38,87.66,63.19,9.41
199703.0,55.88,0.53,79.66,67.45,11.45
201784.0,59.71,0.17,84.56,62.13,9.94
214306.0,59.28,0.58,86.03,63.62,9.39
215813.0,55.04,0.07,91.02,63.29,7.43
189380.0,44.68,0.0,94.97,66.14,8.18
174771.0,39.09,0.0,94.18,68.87,10.93
186126.0,34.73,0.0,94.82,69.8,13.0
195276.0,38.02,0.0,93.27,66.42,13.23
212791.0,35.52,0.0,94.36,68.67,12.88
209971.0,37.95,0.0,95.94,68.84,10.64
196523.0,38.57,0.0,93.2,70.13,10.52
176674.0,38.1,0.0,92.89,72.59,15.09
165263.0,42.62,0.28,90.8,71.51,11.53
185626.0,51.78,0.03,81.85,69.4,12.67
191970.0,73.73,0.17,74.66,65.98,12.69
203177.0,65.26,0.26,76.06,65.84,14.26
230648.0,76.74,0.05,79.43,63.26,7.02
246491.0,75.46,0.41,71.36,65.6,10.28
228476.0,73.56,0.02,79.56,63.56,9.11
178281.0,60.55,0.16,84.85,61.4,10.79
147992.0,57.2,0.0,86.32,61.93,7.58
171451.0,50.88,0.82,87.11,60.45,11.45
177961.0,44.07,0.0,90.72,59.2,8.15
184773.0,47.11,0.0,91.87,59.35,12.09
186041.0,32.62,0.0,85.21,70.13,20.9
165216.0,46.13,0.0,86.29,64.45,12.0
157081.0,38.92,0.0,89.95,63.43,8.59
189864.0,39.32,0.0,92.57,60.67,6.34
202824.0,38.12,0.0,90.57,63.42,10.45
187162.0,33.77,0.0,89.83,61.46,16.28
172791.0,45.22,0.37,77.02,67.79,17.19
167759.0,60.33,2.59,69.08,60.54,10.68
150933.0,76.61,1.15,71.28,55.23,12.69
143651.0,71.16,0.11,72.51,56.64,12.23
172977.0,57.67,0.0,75.1,53.65,8.3
181336.0,65.63,0.0,76.25,60.42,9.63
183680.0,61.64,0.0,79.55,53.39,9.95
182042.0,56.18,0.0,79.9,54.69,9.28
174621.0,49.09,0.0,80.64,56.51,8.59
151969.0,57.63,0.0,82.02,56.13,7.81
148743.0,48.09,0.0,82.57,55.39,8.74
179967.0,41.83,0.0,84.18,53.6,7.79
177626.0,33.56,0.13,79.37,57.3,14.61
176605.0,38.26,0.0,80.47,52.28,9.56
175683.0,46.21,0.0,80.8,53.42,9.72
170036.0,41.9,0.0,76.84,58.15,10.65
